name,time,nodeid,value
test,1503460963068862976,111,"255,from,10,44,rssi,29,msg,id,235,l,73.27,t,26.26,h,48.38,"
test,1503460963657833984,111,"255,light,73.68,158,temperature,25.69,humidity,47.50,"
test,1503460963801175040,111,"255,from,10,44,rssi,-1,msg,id,205,l,48.44,t,26.93,h,48.28,"
test,1503460964374136832,111,"255,from,10,44,rssi,29,msg,id,235,l,74.49,t,26.26,h,48.38,"
test,1503460964612848128,111,"255,from,10,44,rssi,0,msg,id,205,l,48.85,t,26.91,h,48.25,"
test,1503460964962928896,111,"255,light,73.68,161,temperature,25.70,humidity,47.53,"
test,1503460965376705024,111,"255,from,10,44,rssi,0,msg,id,205,l,49.25,t,26.93,h,48.25,"
test,1503460965679085056,111,"255,from,10,44,rssi,29,msg,id,235,l,73.68,t,26.27,h,48.38,"
test,1503460966298956032,111,"255,light,74.49,162,temperature,25.69,humidity,47.47,"
test,1503460966299074816,111,"255,from,10,44,rssi,0,msg,id,205,l,48.85,t,26.93,h,48.25,"
test,1503460966951534080,111,"255,from,10,44,rssi,1,msg,id,205,l,48.85,t,26.91,h,48.18,"
test,1503460966999209984,111,"255,from,10,44,rssi,29,msg,id,235,l,73.27,t,26.27,h,48.35,"
test,1503460967588072960,111,"255,light,74.90,159,temperature,25.69,humidity,47.44,"
test,1503460967747271168,111,"255,from,10,44,rssi,0,msg,id,205,l,49.25,t,26.91,h,48.18,"
test,1503460968288516096,111,"255,from,10,44,rssi,29,msg,id,235,l,73.68,t,26.27,h,48.35,"
test,1503460968909188864,111,"255,light,73.27,158,temperature,25.69,humidity,47.44,"
test,1503460969593536000,111,"255,from,10,44,rssi,29,msg,id,235,l,74.09,t,26.26,h,48.38,"
test,1503460970228264960,111,"255,light,74.90,159,temperature,25.69,humidity,47.47,"
test,1503460970228379136,111,"255,from,10,44,rssi,0,msg,id,205,l,48.44,t,26.91,h,48.15,"
test,1503460970880852992,111,"255,from,10,44,rssi,29,msg,id,235,l,74.49,t,26.26,h,48.31,"
test,1503460970944519936,111,"255,from,10,44,rssi,-3,msg,id,205,l,48.44,t,26.91,h,48.15,"
test,1503460971533379072,111,"255,light,74.49,161,temperature,25.69,humidity,47.40,"
test,1503460971708452096,111,"255,from,10,44,rssi,-3,msg,id,205,l,48.44,t,26.90,h,48.12,"
test,1503460972201796096,111,"255,from,10,44,rssi,29,msg,id,235,l,73.27,t,26.26,h,48.35,"
test,1503460972504240128,111,"255,from,10,44,rssi,-2,msg,id,205,l,48.85,t,26.90,h,48.09,"
test,1503460972838358016,111,"255,light,74.90,158,temperature,25.68,humidity,47.44,"
test,1503460973507028992,111,"255,from,10,44,rssi,29,msg,id,235,l,74.09,t,26.26,h,48.31,"
test,1503460974174535936,111,"255,light,73.68,159,temperature,25.66,humidity,47.40,"
test,1503460974174721024,111,"255,from,10,44,rssi,-6,msg,id,205,l,48.85,t,26.93,h,48.09,"
test,1503460974811214848,111,"255,from,10,44,rssi,29,msg,id,235,l,73.27,t,26.26,h,48.31,"
test,1503460974842934016,111,"255,from,10,44,rssi,-1,msg,id,205,l,48.44,t,26.94,h,48.05,"
test,1503460975463737856,111,"255,light,73.68,161,temperature,25.66,humidity,47.44,"
test,1503460976116282112,111,"255,from,10,44,rssi,28,msg,id,235,l,75.31,t,26.26,h,48.35,"
test,1503460976434612992,111,"255,from,10,44,rssi,0,msg,id,205,l,48.85,t,26.94,h,47.99,"
test,1503460976784745984,111,"255,light,74.90,162,temperature,25.63,humidity,47.44,"
test,1503460977214308864,111,"255,from,10,44,rssi,1,msg,id,205,l,48.44,t,26.94,h,47.99,"
test,1503460977405316096,111,"255,from,10,44,rssi,29,msg,id,235,l,74.49,t,26.26,h,48.31,"
test,1503460978089838080,111,"255,light,74.90,158,temperature,25.62,humidity,47.47,"
test,1503460978105783040,111,"255,from,10,44,rssi,0,msg,id,205,l,48.03,t,26.93,h,47.99,"
test,1503460978280817920,111,"255,from,10,44,rssi,28,msg,id,211,l,78.16,t,25.51,h,50.06,"
test,1503460978710622976,111,"255,from,10,44,rssi,29,msg,id,235,l,73.27,t,26.26,h,48.35,"
test,1503460979395104000,111,"255,light,74.09,159,temperature,25.62,humidity,47.47,"
test,1503460979601968896,111,"255,from,10,44,rssi,0,msg,id,205,l,48.85,t,26.93,h,47.96,"
test,1503460980111227904,111,"255,from,10,44,rssi,29,msg,id,235,l,73.68,t,26.26,h,48.31,"
test,1503460980365936128,111,"255,from,10,44,rssi,-1,msg,id,205,l,48.44,t,26.93,h,47.99,"
